Year,Ships_launched,Steam_and_electric_engine,Rail_cars_and_electric_locomotives,Carriages_and_trailers,Mail_luggage_vans_and_carriages,Passenger_cars,Other
1861,216,NA,NA,NA,NA,NA,NA
1862,215,NA,NA,NA,NA,NA,NA
1863,285,NA,NA,NA,NA,NA,NA
1864,266,NA,NA,NA,NA,NA,NA
1865,907,NA,NA,NA,NA,NA,NA
1866,675,NA,NA,NA,NA,NA,NA
1867,642,NA,NA,NA,NA,NA,NA
1868,703,NA,NA,NA,NA,NA,NA
1869,683,NA,NA,NA,NA,NA,NA
1870,724,NA,NA,NA,NA,NA,NA
1871,803,NA,NA,NA,NA,NA,NA
1872,700,NA,NA,NA,NA,NA,NA
1873,637,NA,NA,NA,NA,NA,NA
1874,413,NA,NA,NA,NA,NA,NA
1875,337,NA,NA,NA,NA,NA,NA
1876,312,NA,NA,NA,NA,NA,NA
1877,286,NA,NA,NA,NA,NA,NA
1878,221,NA,NA,NA,NA,NA,NA
1879,269,NA,NA,NA,NA,NA,NA
1880,263,NA,NA,NA,NA,NA,NA
1881,228,NA,NA,NA,NA,NA,NA
1882,233,NA,NA,NA,NA,NA,NA
1883,154,NA,NA,NA,NA,NA,NA
1884,154,NA,NA,NA,NA,NA,NA
1885,197,NA,NA,NA,NA,NA,NA
1886,193,NA,NA,NA,NA,NA,NA
1887,167,NA,NA,NA,NA,NA,NA
1888,277,NA,NA,NA,NA,NA,NA
1889,354,NA,NA,NA,NA,NA,NA
1890,357,NA,NA,NA,NA,NA,NA
1891,353,NA,NA,NA,NA,NA,NA
1892,278,NA,NA,NA,NA,NA,NA
1893,286,NA,NA,NA,NA,NA,NA
1894,219,NA,NA,NA,NA,NA,NA
1895,248,NA,NA,NA,NA,NA,NA
1896,183,NA,NA,NA,NA,NA,NA
1897,161,NA,NA,NA,NA,NA,NA
1898,163,NA,NA,NA,NA,NA,NA
1899,188,NA,NA,NA,NA,NA,NA
1900,188,NA,NA,NA,NA,NA,NA
1901,154,NA,NA,NA,NA,NA,NA
1902,152,NA,NA,NA,NA,NA,NA
1903,246,NA,NA,NA,NA,NA,NA
1904,185,NA,NA,NA,NA,NA,NA
1905,191,76,NA,264,822,NA,NA
1906,244,363,11,527,5217,NA,NA
1907,286,475,84,563,9354,NA,NA
1908,238,460,NA,745,8872,NA,NA
1909,200,370,NA,656,6296,NA,NA
1910,227,249,NA,301,4873,NA,NA
1911,202,246,NA,265,5307,NA,NA
1912,192,235,NA,368,5653,NA,NA
1913,208,210,NA,316,4942,NA,NA
1914,168,153,NA,23,2769,NA,NA
1915,84,153,NA,213,2769,NA,NA
1916,10,45,NA,157,1729,NA,NA
1917,8,160,NA,76,1855,NA,NA
1918,13,30,NA,6,2310,NA,NA
1919,17,268,NA,12,7410,NA,NA
1920,15,249,NA,71,7794,NA,NA
1921,31,261,NA,343,2741,NA,NA
1922,17,292,NA,473,1496,NA,NA
1923,16,220,NA,191,471,NA,NA
1924,15,116,NA,NA,212,NA,NA
1925,22,44,NA,96,1342,45800,3600
1926,148,44,1,189,2367,60500,3300
1927,83,96,3,219,3927,50700,3600
1928,68,68,3,349,4373,53900,3700
1929,98,116,1,265,1520,51900,3200
1930,126,89,NA,99,1037,41900,4500
1931,129,25,2,172,1668,25800,2600
1932,48,57,27,251,746,26500,3100
1933,71,3,38,164,72,38200,3500
1934,81,45,61,33,47,41047,4355
1935,100,114,45,12,144,41000,9493
1936,41,76,107,9,162,36196,16948
1937,97,83,176,35,79,61366,16342
1938,126,113,227,271,1500,59000,11777
1939,96,107,152,536,2432,55533,13301
1940,83,69,208,401,1409,22252,25604
1941,57,59,57,NA,3642,11021,27777
1942,86,52,50,12,6325,9345,21062
1943,61,15,41,3,4376,4014,17120
1944,49,1,13,2,2091,1818,11963
1945,34,NA,11,4,2350,2093,8197
1946,344,2,10,10,4204,10989,17994
1947,357,19,NA,27,6095,25375,17102
1948,295,28,28,329,6830,43112,16295
1949,235,66,19,563,3767,63808,22528
1950,224,36,54,447,1539,99857,28555
1951,261,4,88,199,NA,118287,29905
1952,247,5,34,44,2,113567,24961
1953,239,6,12,37,NA,143715,30827
1954,359,11,1,1,18,180849,36089
1955,222,54,34,2,43,230972,38409
1956,175,43,51,180,345,279899,36103
1957,199,30,55,114,465,318775,33570
1958,189,23,89,106,3151,369374,34378
1959,197,39,88,220,3150,470661,30222
1960,231,89,61,217,3189,595907,48913
1961,261,81,135,253,1865,693672,65744
1962,304,93,89,213,1502,877811,68950
1963,284,31,73,216,2639,1105291,75287
1964,267,102,35,387,6821,1028930,61556
1965,266,41,100,135,9340,1103932,71639
1966,282,35,121,115,6714,1282418,83532
1967,78,10,108,389,3477,1439211,103479
1968,80,2,136,301,803,1544932,118716
1969,84,NA,27,139,1988,1477366,118585
1970,87,14,39,384,2629,1719715,134537
1971,85,44,115,372,1457,1701064,115955
1972,78,7,130,169,2000,1732379,107414
1973,73,34,42,334,1261,1825184,134661
1974,78,28,65,348,548,1631282,141829
1975,69,2,89,230,554,1348544,110085
1976,58,38,128,236,1241,1471308,119369
1977,67,38,165,395,1901,1440478,143447
1978,55,62,162,369,1940,1508597,147566
1979,59,52,77,247,1948,1480904,151385
1980,67,25,161,361,1638,1445221,166635
1981,71,NA,222,544,2085,1253582,182661
1982,53,NA,125,622,1540,1296453,155688
1983,53,NA,209,647,2293,1395439,179785
1984,39,NA,255,903,3596,1438661,159662
1985,31,NA,219,724,3656,1384225,184539
